Date,Start Time,End Time,Site,Observers,WQ Measurement Depth (cm),Dissolved Oxygen (mg/L),Dissolved Oxygen (%),Conductivity-specific (mS/cm),Salinity (ppt),Temperature (C),Barometric Pressure (mmHg),pH,No. Tadpoles,No. Fish,Comments
15-Jan-20,9:55,10:15,PIER,"Cole, Bailee",10cm below surface,7.6,71.0,5.920,3.2,11.7,764.1,6.80,0,0,
15-Jan-20,9:00,9:15,NVBR,"Bailee, Cole",10cm below surface,10.5,95.0,3.300,1.8,11.5,763.7,7.60,,,
15-Jan-20,9:15,9:35,VBR1,"Cole, Bailee",10cm below surface,8.5,76.0,5.740,3.1,12.0,763.8,7.00,,,
15-Jan-20,9:40,9:55,CUL1,"Bailee, Kimery, Cole",10cm below surface,8.2,75.0,3.910,1.4,9.2,764.3,6.43,,,
21-Jan-20,2:38,2:46,NWP,"Cole, Bailee",10cm below surface,10.7,109.0,1.630,0.8,17.1,765.6,7.45,0,0,
21-Jan-20,2:38,2:46,NWP,"Cole, Bailee",5cm above bottom,10.4,106.0,1.560,0.8,17.0,765.6,7.45,0,0,
21-Jan-20,2:53,3:03,NDC,"Cole, Bailee",10cm below surface,7.6,72.0,0.586,0.3,13.6,765.5,6.53,0,0,
21-Jan-20,2:53,3:03,NDC,"Cole, Bailee",5cm above bottom,7.6,71.0,0.575,0.3,12.9,765.5,6.53,0,0,
21-Jan-20,3:15,3:30,NPB,"Cole, Bailee",10cm below surface,7.8,72.0,4.530,2.5,14.3,765.1,6.90,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:15,3:30,NPB,"Cole, Bailee",5cm above bottom,6.4,61.0,5.370,2.9,14.4,765.1,6.90,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:35,3:50,NEB,"Cole, Bailee",10cm below surface,10,102.0,5.160,2.8,16.6,765.6,7.20,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:35,3:50,NEB,"Cole, Bailee",5cm above bottom,10.2,103.0,5.180,2.8,16.3,765.6,7.20,0,0,water was too deep to sample in normal vegetation area (marked with O)
21-Jan-20,3:55,4:10,NMC,"Cole, Bailee",10cm below surface,8.9,92.0,5.010,2.6,17.3,765.8,7.30,0,0,water was too deep to sample in normal vegetation area (marked with O)
