Serial_number:,2012223,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,
Location:,Groundwater Well 12,,,,,,
LEVEL UNIT:,ft,,,,,,
Offset:,0.000000 ft,,,,,,
TEMPERATURE UNIT:, °C,,,,,,
,,,,,,,
Date,Time,Date & Time,TEMPERATURE (C),Conductivity (uS/cm),LEVEL (ft),WSE (ft),
3/26/2018,15:00,3/26/2018 15:00,13,,2.564,8.264,8.015458208
3/26/2018,15:15,3/26/2018 15:15,12.8,,2.508,8.208,
3/26/2018,15:30,3/26/2018 15:30,12.7,,2.486,8.186,
3/26/2018,15:45,3/26/2018 15:45,12.7,,2.474,8.174,
3/26/2018,16:00,3/26/2018 16:00,12.7,,2.472,8.172,
3/26/2018,16:15,3/26/2018 16:15,12.7,,2.45,8.15,
3/26/2018,16:30,3/26/2018 16:30,12.7,,2.438,8.138,
3/26/2018,16:45,3/26/2018 16:45,12.7,,2.432,8.132,
3/26/2018,17:00,3/26/2018 17:00,12.7,,2.42,8.12,
3/26/2018,17:15,3/26/2018 17:15,12.7,,2.413,8.113,
3/26/2018,17:30,3/26/2018 17:30,12.7,,2.411,8.111,
3/26/2018,17:45,3/26/2018 17:45,12.7,,2.41,8.11,
3/26/2018,18:00,3/26/2018 18:00,12.7,,2.411,8.111,
3/26/2018,18:15,3/26/2018 18:15,12.7,,2.4,8.1,
3/26/2018,18:30,3/26/2018 18:30,12.7,,2.396,8.096,
3/26/2018,18:45,3/26/2018 18:45,12.7,,2.393,8.093,
3/26/2018,19:00,3/26/2018 19:00,12.7,,2.393,8.093,
3/26/2018,19:15,3/26/2018 19:15,12.7,,2.399,8.099,
3/26/2018,19:30,3/26/2018 19:30,12.7,,2.402,8.102,
3/26/2018,19:45,3/26/2018 19:45,12.7,,2.409,8.109,
3/26/2018,20:00,3/26/2018 20:00,12.7,,2.406,8.106,
3/26/2018,20:15,3/26/2018 20:15,12.7,,2.405,8.105,
3/26/2018,20:30,3/26/2018 20:30,12.7,,2.416,8.116,
3/26/2018,20:45,3/26/2018 20:45,12.7,,2.423,8.123,
3/26/2018,21:00,3/26/2018 21:00,12.7,,2.428,8.128,
3/26/2018,21:15,3/26/2018 21:15,12.7,,2.432,8.132,
3/26/2018,21:30,3/26/2018 21:30,12.7,,2.437,8.137,
3/26/2018,21:45,3/26/2018 21:45,12.7,,2.441,8.141,
3/26/2018,22:00,3/26/2018 22:00,12.7,,2.443,8.143,
3/26/2018,22:15,3/26/2018 22:15,12.7,,2.446,8.146,
3/26/2018,22:30,3/26/2018 22:30,12.7,,2.446,8.146,
3/26/2018,22:45,3/26/2018 22:45,12.7,,2.45,8.15,
3/26/2018,23:00,3/26/2018 23:00,12.7,,2.45,8.15,
3/26/2018,23:15,3/26/2018 23:15,12.7,,2.452,8.152,
3/26/2018,23:30,3/26/2018 23:30,12.7,,2.456,8.156,
3/26/2018,23:45,3/26/2018 23:45,12.7,,2.465,8.165,
3/27/2018,0:00,3/27/2018 0:00,12.7,,2.47,8.17,
3/27/2018,0:15,3/27/2018 0:15,12.7,,2.476,8.176,
3/27/2018,0:30,3/27/2018 0:30,12.7,,2.484,8.184,
3/27/2018,0:45,3/27/2018 0:45,12.7,,2.489,8.189,
3/27/2018,1:00,3/27/2018 1:00,12.7,,2.494,8.194,
3/27/2018,1:15,3/27/2018 1:15,12.7,,2.496,8.196,
3/27/2018,1:30,3/27/2018 1:30,12.7,,2.505,8.205,
3/27/2018,1:45,3/27/2018 1:45,12.7,,2.512,8.212,
3/27/2018,2:00,3/27/2018 2:00,12.7,,2.515,8.215,
3/27/2018,2:15,3/27/2018 2:15,12.7,,2.525,8.225,
3/27/2018,2:30,3/27/2018 2:30,12.7,,2.527,8.227,
3/27/2018,2:45,3/27/2018 2:45,12.7,,2.532,8.232,
3/27/2018,3:00,3/27/2018 3:00,12.7,,2.537,8.237,
3/27/2018,3:15,3/27/2018 3:15,12.7,,2.54,8.24,
