Serial_number:,1072226,,,,,,,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,,,,,,,
Location:,Groundwater Well 12,,,,,,,,,,,,
LEVEL UNIT:,ft,,,,,,,,,,,,
Offset:,0.000000 ft,,,,,,,,,,,,
Altitude: ,0.000000 ft,,,,,,,,,,,,
Density: ,1.000000 kg/L,,,,,,,,,,,,
TEMPERATURE UNIT:, °C,,,,,,,,,,,,
CONDUCTIVITY UNIT:, µS/cm,,,,,,,,,,,,
,,,,,,,,,,,,,
Date,Time,DST,Date & Time,Week of WY2019,TEMPERATURE (C),CONDUCTIVITY (uS/cm),CONDUCTIVITY (S/m),Water LEVEL (ft.),WSE (ft),NOAA Hourly Rainfall (inch),NOTES,,
10/1/2018,0:00,0:00,10/1/2018 0:00,1,21.1,1384,0.1384,0.822,6.732,,,,
10/1/2018,0:15,0:15,10/1/2018 0:15,1,21.1,1384,0.1384,0.809,6.719,,,,
10/1/2018,0:30,0:30,10/1/2018 0:30,1,21.1,1384,0.1384,0.815,6.725,,,,
10/1/2018,0:45,0:45,10/1/2018 0:45,1,21.1,1384,0.1384,0.809,6.719,,,,
10/1/2018,1:00,1:00,10/1/2018 1:00,1,21.1,1384,0.1384,0.8,6.71,,,,
10/1/2018,1:15,1:15,10/1/2018 1:15,1,21.1,1383,0.1383,0.812,6.722,,,,
10/1/2018,1:30,1:30,10/1/2018 1:30,1,21.1,1384,0.1384,0.817,6.727,,,,
10/1/2018,1:45,1:45,10/1/2018 1:45,1,21.1,1383,0.1383,0.82,6.73,,,,
10/1/2018,2:00,2:00,10/1/2018 2:00,1,21.1,1383,0.1383,0.812,6.722,,,,
10/1/2018,2:15,2:15,10/1/2018 2:15,1,21.1,1383,0.1383,0.816,6.726,,,,
10/1/2018,2:30,2:30,10/1/2018 2:30,1,21.1,1383,0.1383,0.817,6.727,,,,
10/1/2018,2:45,2:45,10/1/2018 2:45,1,21.1,1382,0.1382,0.821,6.731,,,,
10/1/2018,3:00,3:00,10/1/2018 3:00,1,21.1,1382,0.1382,0.818,6.728,,,,
10/1/2018,3:15,3:15,10/1/2018 3:15,1,21.1,1382,0.1382,0.818,6.728,,,,
10/1/2018,3:30,3:30,10/1/2018 3:30,1,21.1,1382,0.1382,0.814,6.724,,,,
10/1/2018,3:45,3:45,10/1/2018 3:45,1,21.1,1382,0.1382,0.815,6.725,,,,
10/1/2018,4:00,4:00,10/1/2018 4:00,1,21.1,1382,0.1382,0.812,6.722,,,,
10/1/2018,4:15,4:15,10/1/2018 4:15,1,21.1,1382,0.1382,0.811,6.721,,,,
10/1/2018,4:30,4:30,10/1/2018 4:30,1,21.1,1381,0.1381,0.817,6.727,,,,
10/1/2018,4:45,4:45,10/1/2018 4:45,1,21.1,1382,0.1382,0.819,6.729,,,,
10/1/2018,5:00,5:00,10/1/2018 5:00,1,21.1,1381,0.1381,0.813,6.723,,,,
10/1/2018,5:15,5:15,10/1/2018 5:15,1,21.1,1381,0.1381,0.82,6.73,,,,
10/1/2018,5:30,5:30,10/1/2018 5:30,1,21.1,1381,0.1381,0.825,6.735,,,,
10/1/2018,5:45,5:45,10/1/2018 5:45,1,21.1,1381,0.1381,0.813,6.723,,,,
10/1/2018,6:00,6:00,10/1/2018 6:00,1,21.1,1381,0.1381,0.809,6.719,,,,
10/1/2018,6:15,6:15,10/1/2018 6:15,1,21.1,1381,0.1381,0.816,6.726,,,,
10/1/2018,6:30,6:30,10/1/2018 6:30,1,21.1,1381,0.1381,0.823,6.733,,,,
10/1/2018,6:45,6:45,10/1/2018 6:45,1,21.1,1381,0.1381,0.815,6.725,,,,
10/1/2018,7:00,7:00,10/1/2018 7:00,1,21.1,1381,0.1381,0.81,6.72,,,,
10/1/2018,7:15,7:15,10/1/2018 7:15,1,21.1,1381,0.1381,0.809,6.719,,,,
10/1/2018,7:30,7:30,10/1/2018 7:30,1,21.1,1381,0.1381,0.815,6.725,,,,
10/1/2018,7:45,7:45,10/1/2018 7:45,1,21.1,1381,0.1381,0.813,6.723,,,,
10/1/2018,8:00,8:00,10/1/2018 8:00,1,21.1,1381,0.1381,0.818,6.728,,,,
10/1/2018,8:15,8:15,10/1/2018 8:15,1,21.1,1381,0.1381,0.824,6.734,,,,
10/1/2018,8:30,8:30,10/1/2018 8:30,1,21.1,1381,0.1381,0.82,6.73,,,,
10/1/2018,8:45,8:45,10/1/2018 8:45,1,21.1,1381,0.1381,0.829,6.739,,,,
10/1/2018,9:00,9:00,10/1/2018 9:00,1,21.1,1381,0.1381,0.829,6.739,,,,
10/1/2018,9:15,9:15,10/1/2018 9:15,1,21.1,1381,0.1381,0.829,6.739,,,,
10/1/2018,9:30,9:30,10/1/2018 9:30,1,21.1,1381,0.1381,0.835,6.745,,,,
10/1/2018,9:45,9:45,10/1/2018 9:45,1,21.1,1381,0.1381,0.826,6.736,,,,
10/1/2018,10:00,10:00,10/1/2018 10:00,1,21,1380,0.138,0.835,6.745,,,,
10/1/2018,10:15,10:15,10/1/2018 10:15,1,21.1,1380,0.138,0.837,6.747,,,,
10/1/2018,10:30,10:30,10/1/2018 10:30,1,21,1380,0.138,0.834,6.744,,,,
10/1/2018,10:45,10:45,10/1/2018 10:45,1,21,1381,0.1381,0.848,6.758,,,,
10/1/2018,11:00,11:00,10/1/2018 11:00,1,21.1,1380,0.138,0.835,6.745,,,,
10/1/2018,11:15,11:15,10/1/2018 11:15,1,21,1380,0.138,0.849,6.759,,,,
10/1/2018,11:30,11:30,10/1/2018 11:30,1,21,1380,0.138,0.851,6.761,,,,
10/1/2018,11:45,11:45,10/1/2018 11:45,1,21,1379,0.1379,0.847,6.757,,,,
10/1/2018,12:00,12:00,10/1/2018 12:00,1,21,1379,0.1379,0.858,6.768,,,,
10/1/2018,12:15,12:15,10/1/2018 12:15,1,21,1379,0.1379,0.854,6.764,,,,
10/1/2018,12:30,12:30,10/1/2018 12:30,1,21,1380,0.138,0.858,6.768,,,,
10/1/2018,12:45,12:45,10/1/2018 12:45,1,21,1380,0.138,0.867,6.777,,,,
10/1/2018,13:00,13:00,10/1/2018 13:00,1,21,1380,0.138,0.861,6.771,,,,
10/1/2018,13:15,13:15,10/1/2018 13:15,1,21,1380,0.138,0.87,6.78,,,,
10/1/2018,13:30,13:30,10/1/2018 13:30,1,21,1380,0.138,0.869,6.779,,,,
10/1/2018,13:45,13:45,10/1/2018 13:45,1,21,1380,0.138,0.862,6.772,,,,
10/1/2018,14:00,14:00,10/1/2018 14:00,1,21,1380,0.138,0.854,6.764,,,,
10/1/2018,14:15,14:15,10/1/2018 14:15,1,21,1380,0.138,0.867,6.777,,,,
10/1/2018,14:30,14:30,10/1/2018 14:30,1,21,1380,0.138,0.863,6.773,,,,
10/1/2018,14:45,14:45,10/1/2018 14:45,1,21,1379,0.1379,0.869,6.779,,,,
