Serial_number:,1072226,,,,,,,,,,
Project ID:,NCOS Hydrology Monitoring,,,,,,,,,,
Location:,Groundwater Well 12,,,,,,,,,,
LEVEL UNIT: ,ft,,,,,,,,,,
Offset: ,0.000000 ft,,,,,,,,,,
Altitude: ,0.000000 ft,,,,,,,,,,
Density: ,1.000000 kg/L,,,,,,,,,,
TEMPERATURE UNIT: ,Deg C,,,,,,,,,,
CONDUCTIVITY UNIT:,µS/cm,,,,,,,,,,
,,,,,,,,,,,
Date,Time,Date + Time,NOAA Precip (inch),LEVEL (ft.),WSE (ft. NAVD88),Depth from Surface (ft),TEMPERATURE (C),CONDUCTIVITY (uS/cm),CONDUCTIVITY (mS/cm),CONDUCTIVITY (S/m),NOTES
2019/10/16,18:00,10/16/2019 18:00,,0.953,6.853,2.747,18.9,1233,1.233,0.1233,
2019/10/16,18:15,10/16/2019 18:15,,0.941,6.841,2.759,18.9,1234,1.234,0.1234,
2019/10/16,18:30,10/16/2019 18:30,,0.942,6.842,2.758,18.9,1234,1.234,0.1234,
2019/10/16,18:45,10/16/2019 18:45,,0.939,6.839,2.761,18.9,1234,1.234,0.1234,
2019/10/16,19:00,10/16/2019 19:00,,0.933,6.833,2.767,18.9,1234,1.234,0.1234,
2019/10/16,19:15,10/16/2019 19:15,,0.934,6.834,2.766,18.9,1234,1.234,0.1234,
2019/10/16,19:30,10/16/2019 19:30,,0.945,6.845,2.755,18.9,1234,1.234,0.1234,
2019/10/16,19:45,10/16/2019 19:45,,0.944,6.844,2.756,18.9,1234,1.234,0.1234,
2019/10/16,20:00,10/16/2019 20:00,,0.934,6.834,2.766,18.9,1234,1.234,0.1234,
2019/10/16,20:15,10/16/2019 20:15,,0.945,6.845,2.755,18.9,1234,1.234,0.1234,
2019/10/16,20:30,10/16/2019 20:30,,0.941,6.841,2.759,18.9,1234,1.234,0.1234,
2019/10/16,20:45,10/16/2019 20:45,,0.934,6.834,2.766,18.9,1234,1.234,0.1234,
2019/10/16,21:00,10/16/2019 21:00,,0.941,6.841,2.759,18.9,1233,1.233,0.1233,
2019/10/16,21:15,10/16/2019 21:15,,0.931,6.831,2.769,18.9,1233,1.233,0.1233,
2019/10/16,21:30,10/16/2019 21:30,,0.932,6.832,2.768,18.9,1233,1.233,0.1233,
2019/10/16,21:45,10/16/2019 21:45,,0.933,6.833,2.767,18.9,1233,1.233,0.1233,
2019/10/16,22:00,10/16/2019 22:00,,0.926,6.826,2.774,18.9,1232,1.232,0.1232,
2019/10/16,22:15,10/16/2019 22:15,,0.928,6.828,2.772,18.9,1232,1.232,0.1232,
2019/10/16,22:30,10/16/2019 22:30,,0.925,6.825,2.775,18.9,1231,1.231,0.1231,
2019/10/16,22:45,10/16/2019 22:45,,0.934,6.834,2.766,18.9,1231,1.231,0.1231,
2019/10/16,23:00,10/16/2019 23:00,,0.927,6.827,2.773,18.9,1231,1.231,0.1231,
2019/10/16,23:15,10/16/2019 23:15,,0.924,6.824,2.776,18.9,1230,1.23,0.123,
2019/10/16,23:30,10/16/2019 23:30,,0.921,6.821,2.779,18.9,1230,1.23,0.123,
2019/10/16,23:45,10/16/2019 23:45,,0.931,6.831,2.769,18.9,1230,1.23,0.123,
2019/10/17,0:00,10/17/2019 0:00,,0.936,6.836,2.764,18.9,1229,1.229,0.1229,
2019/10/17,0:15,10/17/2019 0:15,,0.936,6.836,2.764,18.9,1228,1.228,0.1228,
2019/10/17,0:30,10/17/2019 0:30,,0.925,6.825,2.775,18.9,1228,1.228,0.1228,
2019/10/17,0:45,10/17/2019 0:45,,0.946,6.846,2.754,18.9,1228,1.228,0.1228,
2019/10/17,1:00,10/17/2019 1:00,,0.942,6.842,2.758,18.9,1228,1.228,0.1228,
2019/10/17,1:15,10/17/2019 1:15,,0.933,6.833,2.767,18.9,1227,1.227,0.1227,
2019/10/17,1:30,10/17/2019 1:30,,0.932,6.832,2.768,18.9,1227,1.227,0.1227,
2019/10/17,1:45,10/17/2019 1:45,,0.935,6.835,2.765,18.9,1226,1.226,0.1226,
2019/10/17,2:00,10/17/2019 2:00,,0.943,6.843,2.757,18.9,1226,1.226,0.1226,
2019/10/17,2:15,10/17/2019 2:15,,0.937,6.837,2.763,18.9,1226,1.226,0.1226,
2019/10/17,2:30,10/17/2019 2:30,,0.938,6.838,2.762,18.9,1225,1.225,0.1225,
2019/10/17,2:45,10/17/2019 2:45,,0.934,6.834,2.766,18.9,1225,1.225,0.1225,
2019/10/17,3:00,10/17/2019 3:00,,0.934,6.834,2.766,18.9,1225,1.225,0.1225,
2019/10/17,3:15,10/17/2019 3:15,,0.932,6.832,2.768,18.9,1224,1.224,0.1224,
2019/10/17,3:30,10/17/2019 3:30,,0.942,6.842,2.758,18.9,1224,1.224,0.1224,
2019/10/17,3:45,10/17/2019 3:45,,0.939,6.839,2.761,18.9,1224,1.224,0.1224,
2019/10/17,4:00,10/17/2019 4:00,,0.929,6.829,2.771,18.9,1224,1.224,0.1224,
2019/10/17,4:15,10/17/2019 4:15,,0.941,6.841,2.759,18.9,1224,1.224,0.1224,
2019/10/17,4:30,10/17/2019 4:30,,0.941,6.841,2.759,18.9,1224,1.224,0.1224,
2019/10/17,4:45,10/17/2019 4:45,,0.936,6.836,2.764,18.9,1224,1.224,0.1224,
2019/10/17,5:00,10/17/2019 5:00,,0.94,6.84,2.76,18.9,1224,1.224,0.1224,
2019/10/17,5:15,10/17/2019 5:15,,0.936,6.836,2.764,18.9,1224,1.224,0.1224,
2019/10/17,5:30,10/17/2019 5:30,,0.935,6.835,2.765,18.9,1223,1.223,0.1223,
2019/10/17,5:45,10/17/2019 5:45,,0.939,6.839,2.761,18.9,1224,1.224,0.1224,
2019/10/17,6:00,10/17/2019 6:00,,0.946,6.846,2.754,18.9,1224,1.224,0.1224,
2019/10/17,6:15,10/17/2019 6:15,,0.945,6.845,2.755,18.8,1224,1.224,0.1224,
2019/10/17,6:30,10/17/2019 6:30,,0.938,6.838,2.762,18.8,1223,1.223,0.1223,
2019/10/17,6:45,10/17/2019 6:45,,0.952,6.852,2.748,18.8,1223,1.223,0.1223,
2019/10/17,7:00,10/17/2019 7:00,,0.938,6.838,2.762,18.8,1223,1.223,0.1223,
2019/10/17,7:15,10/17/2019 7:15,,0.941,6.841,2.759,18.8,1222,1.222,0.1222,
2019/10/17,7:30,10/17/2019 7:30,,0.937,6.837,2.763,18.8,1222,1.222,0.1222,
2019/10/17,7:45,10/17/2019 7:45,,0.939,6.839,2.761,18.8,1222,1.222,0.1222,
2019/10/17,8:00,10/17/2019 8:00,,0.936,6.836,2.764,18.8,1222,1.222,0.1222,
2019/10/17,8:15,10/17/2019 8:15,,0.937,6.837,2.763,18.8,1221,1.221,0.1221,
2019/10/17,8:30,10/17/2019 8:30,,0.939,6.839,2.761,18.8,1221,1.221,0.1221,
2019/10/17,8:45,10/17/2019 8:45,,0.929,6.829,2.771,18.8,1220,1.22,0.122,
2019/10/17,9:00,10/17/2019 9:00,,0.939,6.839,2.761,18.8,1220,1.22,0.122,
2019/10/17,9:15,10/17/2019 9:15,,0.944,6.844,2.756,18.8,1219,1.219,0.1219,
2019/10/17,9:30,10/17/2019 9:30,,0.95,6.85,2.75,18.8,1219,1.219,0.1219,
2019/10/17,9:45,10/17/2019 9:45,,0.943,6.843,2.757,18.8,1218,1.218,0.1218,
2019/10/17,10:00,10/17/2019 10:00,,0.944,6.844,2.756,18.8,1218,1.218,0.1218,
2019/10/17,10:15,10/17/2019 10:15,,0.951,6.851,2.749,18.8,1217,1.217,0.1217,
2019/10/17,10:30,10/17/2019 10:30,,0.95,6.85,2.75,18.8,1216,1.216,0.1216,
2019/10/17,10:45,10/17/2019 10:45,,0.953,6.853,2.747,18.8,1216,1.216,0.1216,
2019/10/17,11:00,10/17/2019 11:00,,0.972,6.872,2.728,18.8,1215,1.215,0.1215,
2019/10/17,11:15,10/17/2019 11:15,,0.954,6.854,2.746,18.8,1214,1.214,0.1214,
2019/10/17,11:30,10/17/2019 11:30,,0.961,6.861,2.739,18.8,1214,1.214,0.1214,
2019/10/17,11:45,10/17/2019 11:45,,0.959,6.859,2.741,18.8,1213,1.213,0.1213,
2019/10/17,12:00,10/17/2019 12:00,,0.963,6.863,2.737,18.8,1212,1.212,0.1212,
2019/10/17,12:15,10/17/2019 12:15,,0.968,6.868,2.732,18.8,1211,1.211,0.1211,
2019/10/17,12:30,10/17/2019 12:30,,0.965,6.865,2.735,18.8,1210,1.21,0.121,
2019/10/17,12:45,10/17/2019 12:45,,0.975,6.875,2.725,18.8,1209,1.209,0.1209,
2019/10/17,13:00,10/17/2019 13:00,,0.969,6.869,2.731,18.8,1208,1.208,0.1208,
2019/10/17,13:15,10/17/2019 13:15,,0.973,6.873,2.727,18.8,1207,1.207,0.1207,
2019/10/17,13:30,10/17/2019 13:30,,0.971,6.871,2.729,18.8,1206,1.206,0.1206,
2019/10/17,13:45,10/17/2019 13:45,,0.977,6.877,2.723,18.8,1205,1.205,0.1205,
