,Date,Time,ms,LEVEL,TEMPERATURE,CONDUCTIVITY,CON_UCTIVITY,WSE_ft
1,12/15/2020,18:00:00,0,-0.007,11.2,0,NA,3.953
2,12/15/2020,18:15:00,0,0.001,11,0,NA,3.961
3,12/15/2020,18:30:00,0,-0.004,10.6,0,NA,3.956
4,12/15/2020,18:45:00,0,-0.004,10.5,0,NA,3.956
5,12/15/2020,19:00:00,0,0,10.5,0,NA,3.96
6,12/15/2020,19:15:00,0,0.001,9.7,0,NA,3.961
7,12/15/2020,19:30:00,0,-0.003,9.7,0,NA,3.957
8,12/15/2020,19:45:00,0,-0.013,9.4,0,NA,3.947
9,12/15/2020,20:00:00,0,0.004,9.4,0,NA,3.964
10,12/15/2020,20:15:00,0,-0.006,9.4,0,NA,3.954
11,12/15/2020,20:30:00,0,-0.004,9.2,0,NA,3.956
12,12/15/2020,20:45:00,0,0.017,8.7,0,NA,3.977
13,12/15/2020,21:00:00,0,0.003,8.3,0,NA,3.963
14,12/15/2020,21:15:00,0,0.013,8,0,NA,3.973
15,12/15/2020,21:30:00,0,0.013,8.1,0,NA,3.973
16,12/15/2020,21:45:00,0,0.009,8,0,NA,3.969
17,12/15/2020,22:00:00,0,0.013,8,0,NA,3.973
18,12/15/2020,22:15:00,0,0.015,7.9,0,NA,3.975
19,12/15/2020,22:30:00,0,0.017,7.6,0,NA,3.977
20,12/15/2020,22:45:00,0,0.015,7.5,0,NA,3.975
21,12/15/2020,23:00:00,0,0.025,7.3,0,NA,3.985
22,12/15/2020,23:15:00,0,0.014,7.4,0,NA,3.974
23,12/15/2020,23:30:00,0,0.029,7.2,0,NA,3.989
24,12/15/2020,23:45:00,0,0.022,7.1,0,NA,3.982
25,12/16/2020,0:00:00,0,0.024,6.9,0,NA,3.984
26,12/16/2020,0:15:00,0,0.021,6.8,0,NA,3.981
27,12/16/2020,0:30:00,0,0.022,6.7,0,NA,3.982
28,12/16/2020,0:45:00,0,0.032,6.7,0,NA,3.992
29,12/16/2020,1:00:00,0,0.036,6.6,0,NA,3.996
30,12/16/2020,1:15:00,0,0.014,6.5,0,NA,3.974
31,12/16/2020,1:30:00,0,0.029,6.3,0,NA,3.989
32,12/16/2020,1:45:00,0,0.029,6.4,0,NA,3.989
33,12/16/2020,2:00:00,0,0.029,6.3,0,NA,3.989
34,12/16/2020,2:15:00,0,0.036,6.5,0,NA,3.996
35,12/16/2020,2:30:00,0,0.03,6.6,0,NA,3.99
36,12/16/2020,2:45:00,0,0.04,6.4,0,NA,4
37,12/16/2020,3:00:00,0,0.03,6.1,0,NA,3.99
38,12/16/2020,3:15:00,0,0.043,5.9,0,NA,4.003
39,12/16/2020,3:30:00,0,0.04,5.8,0,NA,4
40,12/16/2020,3:45:00,0,0.056,5.6,0,NA,4.016
41,12/16/2020,4:00:00,0,0.043,5.5,0,NA,4.003
42,12/16/2020,4:15:00,0,0.062,5.5,0,NA,4.022
43,12/16/2020,4:30:00,0,0.046,5.5,0,NA,4.006
44,12/16/2020,4:45:00,0,0.067,5.4,0,NA,4.027
45,12/16/2020,5:00:00,0,0.065,5.4,0,NA,4.025
46,12/16/2020,5:15:00,0,0.063,5.4,0,NA,4.023
47,12/16/2020,5:30:00,0,0.056,5.3,0,NA,4.016
48,12/16/2020,5:45:00,0,0.058,5.1,0,NA,4.018
49,12/16/2020,6:00:00,0,0.082,5,0,NA,4.042
50,12/16/2020,6:15:00,0,0.087,4.8,0,NA,4.047
51,12/16/2020,6:30:00,0,0.079,4.9,0,NA,4.039
52,12/16/2020,6:45:00,0,0.081,4.9,0,NA,4.041
53,12/16/2020,7:00:00,0,0.088,4.9,0,NA,4.048
54,12/16/2020,7:15:00,0,0.071,5,0,NA,4.031
55,12/16/2020,7:30:00,0,0.082,5,0,NA,4.042
56,12/16/2020,7:45:00,0,0.023,7.2,0,NA,3.983
57,12/16/2020,8:00:00,0,0.02,9.6,0,NA,3.98
